CANT DE DATOS;AÑO;MES;INDICE PALMER
1;1970;1;0
2;1970;2;-0,1
3;1970;3;0,5
4;1970;4;-0,5
5;1970;5;-0,7
6;1970;6;-0,9
7;1970;7;-0,8
8;1970;8;-1
9;1970;9;-1
10;1970;10;0,4
11;1970;11;-0,6
12;1970;12;-0,6
13;1971;1;-0,2
14;1971;2;-0,1
15;1971;3;-0,1
16;1971;4;-0,7
17;1971;5;-0,4
18;1971;6;-0,6
19;1971;7;0,7
20;1971;8;-0,1
21;1971;9;0
22;1971;10;-0,8
23;1971;11;-1,7
24;1971;12;-2,5
25;1972;1;-2,1
26;1972;2;-2,8
27;1972;3;-3
28;1972;4;-3,6
29;1972;5;-4
30;1972;6;1,2
31;1972;7;1,1
32;1972;8;1,5
33;1972;9;2,9
34;1972;10;3
35;1972;11;2,8
36;1972;12;2,3
37;1973;1;2,2
38;1973;2;2,2
39;1973;3;3,3
40;1973;4;2,9
41;1973;5;2,5
42;1973;6;4,7
43;1973;7;5
44;1973;8;4,6
45;1973;9;3,9
46;1973;10;3,8
47;1973;11;-0,2
48;1973;12;-1
49;1974;1;-1,9
50;1974;2;-2,6
51;1974;3;-3
52;1974;4;-3,9
53;1974;5;-2,9
54;1974;6;-3
55;1974;7;-0,9
56;1974;8;-0,9
57;1974;9;-0,7
58;1974;10;-1,3
59;1974;11;-1,9
60;1974;12;-2,1
61;1975;1;-2
62;1975;2;-2,5
63;1975;3;1
64;1975;4;0,5
65;1975;5;1,1
66;1975;6;1,5
67;1975;7;1,2
68;1975;8;1,6
69;1975;9;2,8
70;1975;10;2,3
71;1975;11;2
72;1975;12;1
73;1976;1;3
74;1976;2;2,9
75;1976;3;2
76;1976;4;1,5
77;1976;5;1,7
78;1976;6;1,2
79;1976;7;0,9
80;1976;8;1,8
81;1976;9;1,2
82;1976;10;1
83;1976;11;2,1
84;1976;12;3,1
85;1977;1;3,4
86;1977;2;5,3
87;1977;3;5
88;1977;4;4,2
89;1977;5;3,8
90;1977;6;3,4
91;1977;7;3
92;1977;8;2,8
93;1977;9;2,5
94;1977;10;3
95;1977;11;2,5
96;1977;12;3,5
97;1978;1;4,1
98;1978;2;3,5
99;1978;3;5,1
100;1978;4;4,1
101;1978;5;3,1
102;1978;6;3
103;1978;7;3
104;1978;8;2,6
105;1978;9;3,9
106;1978;10;3,8
107;1978;11;3,9
108;1978;12;3,8
109;1979;1;4,1
110;1979;2;4,2
111;1979;3;3,8
112;1979;4;3,4
113;1979;5;2,6
114;1979;6;3,3
115;1979;7;2,8
116;1979;8;2,4
117;1979;9;3
118;1979;10;2,4
119;1979;11;2,9
120;1979;12;-0,3
